Kataloški broj;Barcode;Naziv robe;VPC;MPC
36913;8717109051896;PLOČICE ZAD.SPRINTER 308-314 =GDB1263;43,26;51
36919;8717109051971;PLOČICE PR.VOLVO S/V 40 -98=GDB1317;39,80;47
36935;8717109052299;PLOČICE ZAD.ALFA 166 98.-KAPPA 94.-=GDB1147;38,68;45
36943;8717109052404;PLOČICE PR.MERCEDES W210 270CDI/E280/E320/E420=GDB1215;38,62;45
36950;8717109052527;PLOČICE ZAD.VOLVO S/V 40 SMART=GDB1314;33,60;39
36958;8717109052725;PLOČICE PR. BMW E38 94-=GDB1269;54,24;63
36961;8717109052794;PLOČICE PR.BMW 540 I 740 I 94.-X5 2000.-=GDB1261;64,82;76
36969;8717109052923;PLOČICE PR.VW POLO 94- LUPO=GDB1274;30,63;36
36970;8717109052961;PLOČICE PR.GOLF III 1,9TD =GDB1218;35,82;42
36975;8717109053067;PLOČICE ZAD.PEŽO 406 95.- =GDB1276;29,79;35
36976;8717109053074;PLOČICE PR.PEŽO 406 96.-=GDB1193;53,54;63
36977;8717109053104;PLOČICE PR.PEŽO 406 96.-K.=GDB1194;50,48;59
36978;8717109053142;PLOČICE PR.CITROEN XSARA 1,8/1,9=GDB1322;35,35;41
36983;8717109053258;PLOČICE ZAD.VW T4 96.- =GDB1325/GDB1324;40,79;48
36986;8717109053319;PLOČICE PR.VW TRANSPORTER 95.- 2,5 2,8 =GDB1282;56,98;67
36995;8717109053388;PLOČICE ZAD.MAZDA MPV;35,53;42
36996;8717109053401;PLOČICE PR.FIESTA 95.-KA 96.- =GDB1221;35,60;42
36998;8717109053463;PLOČICE PR.BMW 528-525 TDS E39=GDB1264;43,89;51
37000;8717109053517;PLOČICE PR.+ZAD.SPRINTER BM 903/904 LT46 =GDB1288;35,56;42
37006;8717109053647;PLOČICE ZAD.MERCEDES W202 96.-=GDB1283;28,15;33
37008;8717109053661;PLOČICE PR.GOLF IV A3 OCTAVIA POLO 09.-=GDB1357/GDB1984;34,57;40
37009;8717109053722;PLOČICE ZAD.VITO -99 W638 K.=GDB1289;34,05;40
37010;8717109053753;PLOČICE PR.VW PASSAT 1,9TDI A4 96- =GDB1266;34,47;40
37011;8717109053791;PLOČICE PR.VW GOLF III 96.-=GDB1312/GDB1437;36,21;42
37012;8717109053821;PLOČICE PR.FIAT BRAVA ALFA 146 K.=GDB1291;65,23;76
37013;8717109053845;PLOČICE PR.FIAT MAREA ALFA 146 95.- K.=GDB1212;50,31;59
37016;8717109053913;PLOČICE PR.XSARA PARTNER 306=GDB1260;45,90;54
37019;8717109053982;PLOČICE PR.RENO ESPACE 2,2D/3,0 -2000.K=GDB1270;50,03;59
37020;8717109054019;PLOČICE PR.VOLVO S/V40 98-=GDB1313;36,70;43
37021;8717109054033;PLOČICE ZAD.W202 97.- W210 97.- NIŽE=GDB1335;32,03;37
37022;8717109054064;PLOČICE ZAD.MERCEDES W203 2000.- =GDB1421;40,61;48
37028;8717109054132;PLOČICE PR.MUSSO KORANDO=GDB3134;71,19;83
37036;8717109054262;PLOČICE PR.BMW E39=GDB1404;40,34;47
37039;8717109054316;PLOČICE PR.CITROEN XANTIA XM=GDB1336;59,10;69
37043;8717109054408;PLOČICE PR.KIA SPORTAGE 94-=GDB3123;70,38;82
37049;8717109054507;PLOČICE PR.PEŽO 406 COUPE -2004.=GDB1359;70,47;82
37051;8717109054545;PLOČICE ZAD.RENO LAGUNA 14,5MM 96.-=GDB1353;47,58;56
37055;8717109054613;PLOČICE PR.DAEWOO NUBIRA 99.-=GDB3265;34,94;41
37059;8717109054668;PLOČICE ZAD.OPEL ASTRA G ZAFIRA 98.-=GDB1352;30,52;36
37064;8717109054774;PLOČICE PR.ALFA 156 97.-NIŽE K.=GDB1338;65,58;77
37065;8717109054811;PLOČICE PR.OPEL ASTRA G 98-=GDB1351;44,15;52
37076;8717109055047;PLOČICE PR.OPEL ASTRA ZAFIRA 98.-=GDB1350;43,32;51
37078;8717109055092;PLOČICE PR.MERCEDES W168 A140 97.-=GDB1292;31,22;37
37092;8717109055351;PLOČICE PR.VW GOLF IV VENTO SDI POLO=GDB1306;27,35;32
37096;8717109055443;PLOČICE PR.SUZUKI SUPER CARRX BUS KIA=GDB3234;47,20;55
37097;8717109055450;PLOČICE PR.VOLVO S60/V70/XC70 2000.-=GDB1388;57,21;67
37098;8717109055474;PLOČICE ZAD.VOLVO S80=GDB1389=GDB1389;38,54;45
37099;8717109055498;PLOČICE PR.VW T4 92.-96. =GDB791;40,41;47
37100;8717109055528;PLOČICE PR.FOCUS 98.-=GDB1358;36,90;43
37101;8717109055559;PLOČICE ZAD.FORD FOCUS 98.-=GDB1354;22,55;26
37104;8717109055610;PLOČICE ZAD.VITO W638 99.-=GDB1408;31,14;36
37105;8717109055641;PLOČICE PR.PEŽO 206 2002.- ABS=GDB1500;38,65;45
37110;8717109055788;PLOČICE ZAD.SHARAN ALHAMBRA GALAXY K.=GDB1326;45,01;53
37111;8717109055801;PLOČICE PR.RENO MASTER 98-=GDB1380;38,35;45
37113;8717109055863;PLOČICE =GDB1609;41,26;48
37114;8717109055870;PLOČICE PR.XANTIA 95.-K.=GDB1301;46,12;54
37116;8717109055924;PLOČICE PR.SAAB 9-5,OPEL ASTRA G OPC 01.-;61,55;72
37118;8717109055962;PLOČICE ZAD.VW T4 94.-=GDB1325;53,33;62
37121;8717109056044;PLOČICE PR.FIAT PALIO 97.-GDB1533;44,20;52
37123;8717109056082;PLOČICE ZAD.BRAVO MAREA=GDB1333;34,54;40
37126;8717109056150;PLOČICE PR.HYUNDAI ATOS 97.-=GDB3165;31,54;37
37132;8717109056235;PLOČICE PR.FIAT PUNTO 1,7TD 96.-=GDB1339;39,33;46
37133;8717109056266;PLOČICE PR.VW BORA VR5/AUDI A3 K.=GDB1403;68,70;80
37138;8717109056372;PLOČICE PR.RENO MEGANE/SAFRANE 99.-=GDB1405;32,73;38
37139;8717109056396;PLOČICE PR.DAEWOO MATIZ 98-=GDB3195;29,54;35
37140;8717109056402;PLOČICE PR.SUZUKI SWIFT 1,3 97.-=GDB3215;27,83;33
37141;8717109056433;"PLOČICE PR.VW T4 95.-00. 16""=GDB1459";59,75;70
37143;8717109056471;PLOČICE PR.VW CARAVELLE 2,5TDI/2,8 99.- =GDB1391;61,41;72
37146;8717109056532;PLOČICE ZAD.A160/A170 W168 VANEO 2001.-=GDB1433=GDB1481;30,10;35
37149;8717109056587;PLOČICE PR.MERCEDES W220 ML 99.-=GDB1454;62,29;73
37152;8717109056648;PLOČICE PR.CITROEN XSARA PICASSO=GDB1295;42,16;49
37153;8717109056662;PLOČICE PR.PEŽO 206 2000.-K.=GDB1385;53,95;63
37155;8717109056716;PLOČICE PR.GOLF IV OCTAVIA K.=GDB1386;36,60;43
37156;8717109056761;PLOČICE PR.AUDI A4 1,8T 04.- =GDB1307/GDB1617;38,37;45
37160;8717109238921;PLOČICE PR.PASSAT 96.-K.=GDB1366;50,98;60
37165;8717109239003;PLOČICE PR.MERCEDES W203 2000.-=GDB1413;43,82;51
37170;8717109239089;PLOČICE PR.FIAT PALIO PUNTO=GDB1340;52,81;62
37171;8717109239096;PLOČICE PR.DUCATO 1,8T 99.-=GDB1426;59,98;70
37172;8717109239119;PLOČICE PR.DUCATO -1,4T 99.-K.=GDB1425;61,66;72
37184;8717109239287;PLOČICE ZAD.ALFA 156 99.-=GDB1604;38,05;45
37195;8717109239423;PLOČICE PR.FORD FIESTA FUSION 2000.- VIŠE=GDB1419;35,50;42
37196;8717109239447;PLOČICE PR.FIESTA 2000.-NIŽE=GDB1418;45,99;54
37213;8717109239652;PLOČICE PR.OPEL CORSA C 2000.-=GDB1570;24,47;29
37214;8717109239676;PLOČICE ZAD.SHARAN ALHAMBRA GALAXY K.=GDB1415;33,12;39
37215;8717109239690;PLOČICE PR.FORD MONDEO 2000.-JAGUAR X TYPE =GDB1434;63,75;75
37216;8717109239713;PLOČICE ZAD.OPEL VECTRA LAGUNA=GDB1469;21,82;26
37217;8717109239737;PLOČICE PR.RENO LAGUNA III 15 COLA=GDB1787;30,36;36
37218;8717109239751;PLOČICE PR.RENO LAGUNA VIŠE 01.-=GDB1468;48,48;57
37228;8717109239881;PLOČICE ZAD.TOYOTA PREVIA/AVENSIS VERSO 00.-;40,70;48
37230;8717109239911;PLOČICE PR.TOYOTA RAV-4 2000-=GDB3251;45,91;54
37231;8717109239935;PLOČICE PR.LANDCRUISER 98.-=GDB3197;63,24;74
37239;8717109240061;PLOČICE PR.GALAXY,SHARAN =GDB1440+KABLOVI;67,33;79
37241;8717109240146;PLOČICE PR.ŠKODA FABIA 1,9 TDI/2,0 99.- ==GDB1414;37,35;44
37247;8717109240184;PLOČICE ZAD.HYUNDAI SANTE FE 01.-;30,11;35
37249;8717109240207;PLOČICE PR.OPEL AGILA 2000.-=GDB1420;38,77;45
37254;8717109240269;PLOČICE ZAD.RENO KANGOO 2001.-=GDB1525;50,77;59
37256;8717109240290;PLOČICE PR.FORD TRANSIT 2000.-=GDB1461;61,92;72
37265;8717109240399;PLOČICE IVECO;46,47;54
37267;8717109240412;PLOČICE ZAD.SAAB 95 97.-=GDB1430;71,31;83
37271;8717109242836;PLOČICE PR.PEŽO 607 3,0 00.- 807 02.-GDB1431;56,60;66
37272;8717109242850;PLOČICE PR.PEŽO 206/307 XSARA=GDB1463;33,30;39
37273;8717109242874;PLOČICE PR.PEŽO 307 XSARA 2,0 2001.-=GDB1464;38,03;44
37274;8717109377286;PLOČICE PR.T4 CARAVELLE MULTIVAN 99.-=GDB1367;78,16;91
37275;8717109244212;PLOČICE PR.KIA CARNIVAL 2,5 24V V6 99.-=GDB3301;64,82;76
37276;8717109248531;PLOČICE ZAD.CITROEN C5 2001.-=GDB1450;35,04;41
37277;8717109377293;PLOČICE PR.CITROEN C5 BREAK 01.-=GDB1448;58,33;68
