LAGER LISTA  ;;;;;;;;;;;;;;;;;;;;
Rbr.;MT;NadGrupa;Grupa;Šifra robe;Barcode;KatBroj;Naziv robe;Dob;NazivDob;Polica;Pretinac;JMJ;Stanje;PNBC;VPC;MPC;TD_Sifra;TD_ID;Top;Akt
16447;50;*Bez*;*Bez*;25314;4014870000547;713610100(5428);LEŽAJ ;;;;;KOM;3,00;24,0425;38,46;45,00;;0,00;;D
16454;50;*Bez*;*Bez*;25321;8717109021455;16883(DF2805);KOČIONI DISK ZAD.GOLF IV,OCTAVIA,A3 ;;;;;KOM;5,00;19,122;29,29;34,27;;0,00;;D
16474;50;*Bez*;*Bez*;27189;5055181513042;EAF124(C4287 / C4287/2)LX571;FILTER ZRAKA VW/SEAT 1,4/1,6 16V ;;;;;KOM;2,00;8,575;13,64;15,96;;0,00;;D
16475;50;*Bez*;*Bez*;27190;5055339139391;EKF118(CU2939)LA181;FILTER KABINE(KLIME) VW GOLF V/AUDI A3 ;;;;;KOM;1,00;6,00;11,32;13,24;;0,00;;D
16478;50;*Bez*;*Bez*;27193;3322937264216;GIC168;KABLO KOČINICA BMW E46 PREDNJI ;;;;;KOM;1,00;11,21;17,24;20,17;;0,00;;D
16484;50;*Bez*;*Bez*;27199;5055181517743;EOF042(W68)OC259;FILTER ULJA ;;;;;KOM;2,00;3,955;6,29;7,36;;0,00;;D
16485;50;*Bez*;*Bez*;27200;5055181518269;EOF074(W610/3-W610/82);FILTER ULJA ;;;;;KOM;1,00;5,13;8,01;9,37;;0,00;;D
16487;50;*Bez*;*Bez*;27202;3322937411962;GIC188;KABLOVI PLOČICA ZADNJI BMW E60 03- ;;;;;KOM;1,00;12,71;19,55;22,87;;0,00;;D
16500;50;*Bez*;*Bez*;25591;5413978135509;64231;KRAJNICA VW T4 -08/94 DX KONUSA 12,7MM ;;;;;KOM;1,00;13,00;16,90;19,77;;0,00;;D
16501;50;*Bez*;*Bez*;25592;5413978135523;64232;KRAJNICA VW T4 -08/94 LX KONUSA 14,7MM ;;;;;KOM;1,00;13,50;17,55;20,53;;0,00;;D
16520;50;*Bez*;*Bez*;25610;5414465355042;4PK855;REMEN MIKRO A4/A6 PASSAT GATES ;;;;;KOM;4,00;7,0425;11,07;12,95;;0,00;;D
16527;50;*Bez*;*Bez*;25617;5055181550351;CBP0152(571376)GDB1048;DISK PLOČICE PR.GOLF III,PASSAT 16,3MM ;;;;;KOM;1,00;17,14;28,20;32,99;;0,00;;D
16528;50;*Bez*;*Bez*;25618;4011558738402;W610/3(W610/82);FILTER ULJA ;;;;;KOM;1,00;7,15;12,00;14,04;;0,00;;D
16532;50;*Bez*;*Bez*;25622;5710412175184;1161602800(109394)8D0611707B;KOČIONO CRIJEVO PR.PASSAT 96-,A4/A6 94- ;;;;;KOM;3,00;5,2533;8,18;9,57;;0,00;;D
16533;50;*Bez*;*Bez*;25623;3322937369911;DF4276(17520);KOČIONI DISK ZAD.VW GOLF V 1,6/1,9/2,0 ;;;;;KOM;4,00;31,225;46,83;54,79;;0,00;;D
16534;50;*Bez*;*Bez*;25624;3322937369850;DF4294(17522);KOČIONI DISK PR.GOLF V 2004-ZA(16COL)280MM V ;;;;;KOM;4,00;41,6833;64,13;75,03;;0,00;;D
16535;50;*Bez*;*Bez*;25625;5055181511987;EAF015(C30130/C31132)LX735;FILTER ZRAKA OPEL ASTRA G ;;;;;KOM;1,00;6,07;9,38;10,97;;0,00;;D
16573;50;*Bez*;*Bez*;25178;8717109054668;37059(573010)GDB1352;DISK PLOČICE ZAD.OPEL ASTRA G,ZAFIRA 98- ;;;;;KOM;1,00;19,16;30,00;35,10;;0,00;;D
16578;50;*Bez*;*Bez*;25853;5055181512526;EAF069(C28136/1);FILTER ZRAKA VW POLO/ŠKODA ;;;;;KOM;1,00;6,10;10,22;11,96;;0,00;;D
16583;50;*Bez*;*Bez*;25564;5055181517408;EOF006(W713/19-W717/1)OC203;FILTER ULJA FORD 1,8D SVI ;;;;;KOM;1,00;5,00;8,54;9,99;;0,00;;D
16604;50;*Bez*;*Bez*;25880;4019064062141;26214;MANŽETNA TOČKA GOLF IV,A3,OCTAVIA 90MM ;;;;;KOM;2,00;12,175;17,20;20,12;;0,00;;D
16609;50;*Bez*;*Bez*;25885;5055181560947;EKF197(CU2897)LA371;FILTER KABINE MERCEDES W202/W210 ;;;;;KOM;1,00;13,57;21,00;24,57;;0,00;;D
16616;50;*Bez*;*Bez*;25445;5055181512618;EAF078(C15105/1)LX823;FILTER ZRAKA BMW E46/E90 1,8D/2,0D ;;;;;KOM;1,00;19,07;29,79;34,85;;0,00;;D
16617;50;*Bez*;*Bez*;25446;5055181512854;EAF105(C34109)LX54;FILTER ZRAKA VW GOLF 2 ;;;;;KOM;2,00;4,7867;8,00;9,36;;0,00;;D
16618;50;*Bez*;*Bez*;25447;3322935300664;PHB125;KOČIONO CRIJEVO ZAD.MERC.W12/124/201/202/203/210 ;;;;;KOM;1,00;8,66;13,00;15,21;;0,00;;D
16655;50;*Bez*;*Bez*;26155;5718;5718;SPONA KRAJNICE RENO MEG./SCENIC 2003- LX+DX ;;;;;KOM;2,00;11,45;17,00;19,89;;0,00;;D
16672;50;*Bez*;*Bez*;26172;5412571002508;5016(9018);ZUPČASTI REMEN VW 1.6/1.8 GATES ;;;;;KOM;1,00;7,90;12,19;14,26;;0,00;;D
16676;50;*Bez*;*Bez*;26176;5413978190850;19068;STABILIZATOR CORSA C 2006-GRANDE PUNTO LX+DX ;;;;;KOM;1,00;12,70;19,27;22,55;;0,00;;D
16683;50;*Bez*;*Bez*;26183;5055181516500;EAF480(C11120);FILTER ZRAKA ;;;;;KOM;1,00;15,88;24,82;29,04;;0,00;;D
16688;50;*Bez*;*Bez*;25179;5055181516265;EAF455(C24123/1)LX742;FILTER ZRAKA LAGUNA 1,9/2,2DCI 2,0 16V 2000- ;;;;;KOM;1,00;8,00;12,00;14,04;;0,00;;D
16693;50;*Bez*;*Bez*;25744;4014870006372;713667530(5107K);LEŽAJ ZADNJEG TOČKA MERCEDES W124/W201 ;;;;;KOM;1,00;42,31;52,08;60,93;;0,00;;D
16698;50;*Bez*;*Bez*;26046;5055181518818;EOF135(W730/1);FILTER ULJA AUDI 80 B4 1,9TDI ;;;;;KOM;1,00;6,50;10,25;11,99;;0,00;;D
16704;50;*Bez*;*Bez*;25939;5710412080785;1161600600(103067);KOČIONO CRIJEVO GOLF 3 ;;;;;KOM;4,00;7,2425;11,73;13,72;;0,00;;D
16707;50;*Bez*;*Bez*;25942;50551815514199;CBP1851(571971);DISK PLOČICE GOLF 4 PRVE ;;;;;KOM;2,00;18,81;28,00;32,76;;0,00;;D
16708;50;*Bez*;*Bez*;25943;5055181518061;EOF054(W950/4);FILTER ULJA VW ;;;;;KOM;1,00;6,85;10,25;11,99;;0,00;;D
16709;50;*Bez*;*Bez*;25944;5055181549362;EOF213(HU934X);FILTER ULJA 400CDI ;;;;;KOM;1,00;10,00;14,52;16,99;;0,00;;D
16710;50;*Bez*;*Bez*;25945;3322937895403;PFB425 250ML;TRW GLICERIN 250ML DOT4 ;;;;;KOM;3,00;2,7554;3,84;4,49;;0,00;;D
16711;50;*Bez*;*Bez*;25946;3322937895410;PFB450 0,5L;TRW GLICERIN 0,5L DOT4 ;;;;;KOM;14,00;4,7207;7,69;9,00;;0,00;;D
16723;50;*Bez*;*Bez*;25958;3322937002818;BWC107;KOČIONI CIL.TOČKA GOLF II FI17 ;;;;;KOM;3,00;7,7175;11,52;13,48;;0,00;;D
16745;50;*Bez*;*Bez*;26061;4082300021813;8GJ002525-131;ŽARULJA 12V-H4 HELLA 60/55W ;;;;;KOM;10,00;1,9592;3,15;3,69;;0,00;;D
16756;50;*Bez*;*Bez*;26072;5412571012040;11,9X950LA(6318MC);REMEN KLINASTI 11,9X950 LA ;;;;;KOM;3,00;5,7133;10,26;12,00;;0,00;;D
16774;50;*Bez*;*Bez*;26202;5412571000948;13X800;REMEN KLINASTI 13X800 GATES ;;;;;KOM;1,00;6,00;8,11;9,49;;0,00;;D
16810;50;*Bez*;*Bez*;26876;0204038081259426370001;07.19.012(101456);RAČVA VODE GOLF II 1.6D/TD ;;;;;KOM;1,00;6,00;8,54;9,99;;0,00;;D
16826;50;*Bez*;*Bez*;26935;3322937201273;GDB1307(571982);DISK PLOČICE VW PASSAT/AUDI 98- ;;;;;KOM;1,00;49,01;75,40;88,22;;0,00;;D
16841;50;*Bez*;*Bez*;25963;3322937740673;GDB1736(573257J);DISK PLOČICE PR.MERC.W204/W212/C207 ;;;;;KOM;2,00;59,76;93,27;109,13;;0,00;;D
16842;50;*Bez*;*Bez*;25964;3322937740826;GDB1737(573291J);DISK PLOČICE PR.MERC.W204/AUDI/FORD ;;;;;KOM;1,00;57,74;88,00;102,96;;0,00;;D
16857;50;*Bez*;*Bez*;26321;4011558758004;W7003;FILTER ULJA ALFA/FIAT 1,9JTD ;;;;;KOM;1,00;10,00;14,52;16,99;;0,00;;D
16895;50;*Bez*;*Bez*;29694;4011442501501;835470;ODBOJNIKZAD.AMORTIZERA GOLF II/III ;;;;;KOM;1,00;6,98;10,00;11,70;;0,00;;D
16896;50;*Bez*;*Bez*;29695;5055181560930;EKF196(CU2316);FILTER KLIME RENO ;;;;;KOM;1,00;8,00;11,66;13,64;;0,00;;D
16900;50;*Bez*;*Bez*;29699;5710412123444;1144701270;MANŽETNA LETVE VOLANA GOLF BEZ SERVA ;;;;;KOM;7,00;3,0113;4,64;5,43;;0,00;;D
16901;50;*Bez*;*Bez*;29700;5710412080358;1141400100;GLAVČINA TOČKA PASAT 93- GOLFIII +ABS 5RUPA ;;;;;KOM;1,00;20,23;31,00;36,27;;0,00;;D
16912;50;*Bez*;*Bez*;29711;4019064032687;23268;MANŽETNA MJENJAČA AUDI, VW ;;;;;KOM;1,00;30,50;38,81;45,41;;0,00;;D
16918;50;*Bez*;*Bez*;26796;5055181511949;EAF011(C2256/C2256/1);FILTER ZRAKA OPEL CORSA/COMBO 1,0 1,2 1,4 ;;;;;KOM;1,00;4,00;6,00;7,02;;0,00;;D
16926;50;*Bez*;*Bez*;26769;8717109239652;37213(573011)GDB1570;DISK PLOČICE PR.OPEL ;;;;;KOM;1,00;15,205;25,00;29,25;;0,00;;D
16949;50;*Bez*;*Bez*;25180;5055181560893;EKF192(CU2149)LA136;FILTER KLIME RENO LAGUNA 2000- ;;;;;KOM;1,00;7,50;11,11;13,00;;0,00;;D
16993;50;*Bez*;*Bez*;26913;5055181560077;EKF123(CU2757);FILTER KLIME ASTRA G ;;;;;KOM;1,00;6,50;13,67;15,99;;0,00;;D
17000;50;*Bez*;*Bez*;25302;8717109050868;36881(571526)GDB400/GDB809;DISK PLOČICE PR. ;;;;;KOM;2,00;15,87;25,31;29,61;;0,00;;D
17024;50;*Bez*;*Bez*;27098;8430320040943;D4485;GUMICE KOČIONIH KLIJEŠTA MERC.460 ;;;;;KOM;1,00;18,30;26,15;30,60;;0,00;;D
17076;50;*Bez*;*Bez*;25043;5413978162826;57083;KUGLA ŠKODA FABIA 99-,POLO 2001- DX ;;;;;KOM;2,00;16,195;18,50;21,65;;0,00;;D
17077;50;*Bez*;*Bez*;25044;3531650007400;6276.87J(3141.87D);TERMOSTAT VW/AUDI1,6/1,8 87C 96- ;;;;;KOM;1,00;6,36;10,25;11,99;;0,00;;D
17078;50;*Bez*;*Bez*;25045;5055181515886;EAF415(C2295/3)LX708;FILTER ZRAKA FABIA SDI/TDI 99-,POLO 1,4TDI 1,9SDI ;;;;;KOM;2,00;6,33;10,50;12,29;;0,00;;D
17079;50;*Bez*;*Bez*;25046;5055181516876;EAF517(C2295/4)LX709;FILTER ZRAKA ŠKODA FABIA 1,4/1,9TDI 05- ;;;;;KOM;1,00;8,96;14,00;16,38;;0,00;;D
17080;50;*Bez*;*Bez*;25047;5055181560053;EKF122(CU2545)LA120;FILTER KLIME FABIA/POLO/AUDI A2 ;;;;;KOM;3,00;6,0333;10,25;11,99;;0,00;;D
17081;50;*Bez*;*Bez*;25048;3322937911844;JTF199(57132);KRAJNICA FABIA 98-,POLO 2002 LX ;;;;;KOM;1,00;14,00;21,47;25,12;;0,00;;D
17082;50;*Bez*;*Bez*;25049;3322937911868;JTF201(57133);KRAJNICA FABIA 98-,POLO 2002 DX ;;;;;KOM;1,00;13,00;21,47;25,12;;0,00;;D
17083;50;*Bez*;*Bez*;25050;3322937475582;JTS483;STABILIZATOR PR.GOLF V 03- ;;;;;KOM;2,00;22,40;35,00;40,95;;0,00;;D
17116;50;*Bez*;*Bez*;29411;3322937898053;JBJ377;KUGLA GOLFIV A3 LIJEVA(37486) ;;;;;KOM;1,00;16,95;26,39;30,88;;0,00;;D
17119;50;*Bez*;*Bez*;29414;4011558269708;HU718/1N;FILTER ULJA OPEL VECTRA ;;;;;KOM;1,00;8,50;13,93;16,30;;0,00;;D
17121;50;*Bez*;*Bez*;29416;4011558682507;PU936/2X;FILTER GORIVA GOLFV ;;;;;KOM;1,00;24,83;35,00;40,95;;0,00;;D
17128;50;*Bez*;*Bez*;29423;5055181544930;EAF630(C4312/1);FILTER ZRAKA MERCEDES SPRINTER ;;;;;KOM;1,00;16,00;25,36;29,67;;0,00;;D
17132;50;*Bez*;*Bez*;29427;29427;CBP11753(GDB1659/GDB1617);PLOČICE PREDNJE AUDI ;;;;;KOM;1,00;23,73;37,08;43,38;;0,00;;D
17133;50;*Bez*;*Bez*;29428;5055181559620;EFF202(WK511/2);FILTER GORIVA FORD FIESTA BENZIN 02- ;;;;;KOM;1,00;8,06;12,60;14,74;;0,00;;D
17134;50;*Bez*;*Bez*;29429;4011558755706;W712/90;FILTER ULJA ;;;;;KOM;1,00;12,00;17,42;20,38;;0,00;;D
17149;50;*Bez*;*Bez*;28942;5055181520729;CNS11215(W818/82);FILTER ULJA NISSAN,FORD,SUBARU ;;;;;KOM;1,00;3,50;5,95;6,96;;0,00;;D
17154;50;*Bez*;*Bez*;30932;5055590810657;EKF332(CU26010);FILTER KABINE ;;;;;KOM;1,00;10,37;17,54;20,52;;0,00;;D
17178;50;*Bez*;*Bez*;29123;3358966519102;21651910;GUMIGELING PR.ZAD.MERC ;;;;;KOM;1,00;94,00;117,07;136,97;;0,00;;D
17182;50;*Bez*;*Bez*;29127;5055181517507;EOF016(HU938/1X);FILTER ULJA OMEGA B 2,5TD,BMW E34 2,5TD ;;;;;KOM;1,00;6,29;9,83;11,50;;0,00;;D
17183;50;*Bez*;*Bez*;29128;5055181518191;EOF067(HU925/4X);FILTER ULJA BMW E36/39/E46 ;;;;;KOM;1,00;4,93;7,70;9,01;;0,00;;D
17198;50;*Bez*;*Bez*;29727;5055181545166;EFF157(WK823/2);FILTER GORIVA VW ŠKODA ;;;;;KOM;1,00;16,085;25,13;29,40;;0,00;;D
17208;50;*Bez*;*Bez*;29737;4019064003366;20336;MANŽETNA TOČKA GOLF IV A3 ŠKODA ;;;;;KOM;3,00;10,44;16,26;19,02;;0,00;;D
17267;50;*Bez*;*Bez*;29564;29564;6PK2050;MIKRO REMEN CONT ;;;;;KOM;1,00;26,11;40,17;47,00;;0,00;;D
17270;50;*Bez*;*Bez*;26388;5055181518184;EOF066(W830/1=W830);FILTER ULJA ;;;;;KOM;1,00;5,735;9,50;11,12;;0,00;;D
17271;50;*Bez*;*Bez*;26389;3322937412655;JAR957;SPONA KRAJNICE ASTRA G,ZAFIRA 98-LX+DX TRW OVJES ;;;;;KOM;2,00;21,00;29,91;34,99;;0,00;;D
17272;50;*Bez*;*Bez*;26390;3322937430703;JTE1028;KRAJNICA ASTRA H 2004- LX ;;;;;KOM;2,00;20,00;24,00;28,08;;0,00;;D
17273;50;*Bez*;*Bez*;26391;3322937430710;JTE1029;KRAJNICA OPEL ASTRA H 2004- DX ;;;;;KOM;2,00;20,00;24,00;28,08;;0,00;;D
17316;50;*Bez*;*Bez*;29613;5413978198993;864611;ČAURA PR.LAFETE T4 PR.DONJA 96- ;;;;;KOM;2,00;9,00;12,60;14,74;;0,00;;D
17321;50;*Bez*;*Bez*;29618;5710412072629;1114504000;RAČVA VODE VW ;;;;;KOM;1,00;4,09;7,00;8,19;;0,00;;D
17323;50;*Bez*;*Bez*;29620;3322937334599;GDB1545;DISK PLOČICE ZAD.MERCEDES W203 2000- ;;;;;KOM;1,00;25,87;39,80;46,57;;0,00;;D
17327;50;*Bez*;*Bez*;29624;4011558221904;C14130;FILTER ZRAKA GOLF V ;;;;;KOM;1,00;15,10;24,00;28,08;;0,00;;D
17344;50;*Bez*;*Bez*;31693;4011558071240;H6003Z;FILTER ULJA AUT.MJENJAČA VW ;;;;;KOM;1,00;17,34;27,23;31,86;;0,00;;D
17346;50;*Bez*;*Bez*;31695;5055181527919;ADC0266V(DF4267);DISK PREDNJI RENO CLIO III ;;;;;KOM;2,00;26,50;39,51;46,23;;0,00;;D
17352;50;*Bez*;*Bez*;31124;5055590804823;CSL7004(53560);STABILIZATOR METALNI PEŽO ;;;;;KOM;1,00;8,50;12,70;14,86;;0,00;;D
17355;50;*Bez*;*Bez*;31127;5055181533675;EAF560(C42192);FILTER ZRAKA ;;;;;KOM;1,00;10,67;16,67;19,50;;0,00;;D
17356;50;*Bez*;*Bez*;31128;4014870332495;538024510(65188);VODENA PUMPA MERCEDES ;;;;;KOM;1,00;65,67;101,00;118,17;;0,00;;D
17364;50;*Bez*;*Bez*;31136;5055181518863;EOF141(HU721/2X);FILTER ULJA MERCEDES ;;;;;KOM;1,00;6,00;9,23;10,80;;0,00;;D
17365;50;*Bez*;*Bez*;31137;5709147614051;814024180;SAJLA RUČNE OPEL ASTRA H ;;;;;KOM;1,00;29,00;40,00;46,80;;0,00;;D
17374;50;*Bez*;*Bez*;27404;5055181516685;EAF498(C3468);FILTER ZRAKA PEUGEOT CITROEN ;;;;;KOM;1,00;7,71;12,05;14,10;;0,00;;D
17375;50;*Bez*;*Bez*;27405;4011558290801;HU610X;FILTER ULJA MERCEDES A 140/A160 W168 ;;;;;KOM;1,00;6,17;10,25;11,99;;0,00;;D
17379;50;*Bez*;*Bez*;28022;5055181520255;CMB11321(WP928/81);FILTER ULJA ;;;;;KOM;1,00;12,20;19,13;22,38;;0,00;;D
17444;50;*Bez*;*Bez*;29626;5055181559897;EKF112A;FILTER KLIME VW GOLF III ;;;;;KOM;2,00;11,74;18,10;21,18;;0,00;;D
17454;50;*Bez*;*Bez*;29636;5011987250765;5W40 4/1 SHELL;SHELL HELIX ULTRA 5W40 4/1 ;;;;;KOM;4,00;38,2225;59,83;70,00;;0,00;;D
17462;50;*Bez*;*Bez*;27755;8717109055092;37078(GDB1292);DISK PLOČICE MERCEDES A PRVE ;;;;;KOM;1,00;19,98;31,22;36,53;;0,00;;D
17484;50;*Bez*;*Bez*;31142;8717109160468;9041(GS8627);PAKNE MERCEDES A KLASA W168 ;;;;;KOM;1,00;17,00;32,00;37,44;;0,00;;D
17486;50;*Bez*;*Bez*;31144;4010858506872;5PK1715;MIKRO REMEN 5PK1715 ;;;;;KOM;1,00;18,89;29,06;34,00;;0,00;;D
17494;50;*Bez*;*Bez*;31730;5413978169634;63730(JTE1052);KRAJNICA GOLF V LX ;;;;;KOM;4,00;12,5075;18,38;21,50;;0,00;;D
17497;50;*Bez*;*Bez*;29919;3425901018201;TOTAL 5W30 INEO;TOTAL QUARTZ INEO ECS 5W30 1/1 ;;;;;KOM;16,00;10,9575;14,53;17,00;;0,00;;D
17499;50;*Bez*;*Bez*;31831;5055181515220;EAF346(C2192);FILTER ZRAKA PEŽO ;;;;;KOM;1,00;6,27;10,18;11,91;;0,00;;D
17500;50;*Bez*;*Bez*;31832;5055181519808;EFF071(PU1021X);FILTER GORIVA PEŽO ;;;;;KOM;1,00;6,21;10,56;12,36;;0,00;;D
17503;50;*Bez*;*Bez*;31739;7612720202942;EVERFRESH;MIRISNI BORIĆ EVERFRESH ;;;;;KOM;3,00;1,496;2,14;2,50;;0,00;;D
17505;50;*Bez*;*Bez*;31741;7612720201068;BLACK CLASSIC;MIRISNI BORIĆ BLACK CLASSIC ;;;;;KOM;3,00;1,495;2,14;2,50;;0,00;;D
17506;50;*Bez*;*Bez*;31742;7612720201860;NEW CAR;MIRISNI BORIĆ NEW CAR ;;;;;KOM;4,00;1,498;2,14;2,50;;0,00;;D
17507;50;*Bez*;*Bez*;31743;7612720201419;MB JAGODA;MIRISNI BORIĆ JAGODA ;;;;;KOM;4,00;1,35;1,70;1,99;;0,00;;D
17509;50;*Bez*;*Bez*;31745;7612720201563;MB BUBBLE GUM;MIRISNI BORIĆ BUBBLE GUM ;;;;;KOM;4,00;1,35;1,70;1,99;;0,00;;D
17510;50;*Bez*;*Bez*;31746;7612720201723;MB SUMMER COTTON;MIRISNI BORIĆ SUMMER COTTON ;;;;;KOM;3,00;1,35;1,70;1,99;;0,00;;D
17512;50;*Bez*;*Bez*;31748;7612720201112;WB VANILLA;MIRISNI BORIĆ WB VANILLA ;;;;;KOM;4,00;1,494;2,14;2,50;;0,00;;D
17540;50;*Bez*;*Bez*;28074;5710412110987;1243511942(400072);ČAURA ZADNJEG TRAPA W124/201/202 MANJI ;;;;;KOM;1,00;12,00;19,05;22,29;;0,00;;D
17542;50;*Bez*;*Bez*;28076;5413978122967;49410(JAR218);SPONA MERC.W210 ;;;;;KOM;2,00;14,91;22,21;25,99;;0,00;;D
17548;50;*Bez*;*Bez*;28082;4082300329926;9XW190680-241;METLICE BRISAČA ;;;;;KOM;1,00;16,00;17,00;19,89;;0,00;;D
17553;50;*Bez*;*Bez*;28087;4008177118524;5W30;CASTROL EDGE PROFESIONAL 5W-30 1/1(VW) ;;;;;KOM;5,00;13,732;19,66;23,00;;0,00;;D
17576;50;*Bez*;*Bez*;28762;5413978116331;37432(JTE349);KRAJNICA GOLF IV/A3/OCTAVIA LX ;;;;;KOM;1,00;8,54;12,74;14,91;;0,00;;D
17577;50;*Bez*;*Bez*;28763;5413978159499;37435;KRAJNICA GOLF IV/A3/OCTAVIA DX ;;;;;KOM;3,00;10,392;15,35;17,96;;0,00;;D
17584;50;*Bez*;*Bez*;28770;4009026008232;OX174D(HU945/2X);FILTER ULJA MERC.ATEGO ;;;;;KOM;2,00;11,00;17,09;20,00;;0,00;;D
17637;50;*Bez*;*Bez*;31756;4019064046110;24611;MANŽETNA RENO CLIO II ;;;;;KOM;1,00;17,7067;29,07;34,01;;0,00;;D
17644;50;*Bez*;*Bez*;31763;5710412177911;1144702000;MANŽETNA LETVE AUDI 80 ;;;;;KOM;1,00;4,00;5,91;6,91;;0,00;;D
17649;50;*Bez*;*Bez*;30542;5710412085261;1152601000;ODBOJNIK ZADNJIH AMORTIZERA GOLF IV ;;;;;KOM;2,00;7,415;11,41;13,35;;0,00;;D
17652;50;*Bez*;*Bez*;30545;087295137833;BKR6ES;SVJEĆICA NGK ;;;;;KOM;5,00;2,876;4,60;5,38;;0,00;;D
17661;50;*Bez*;*Bez*;29965;5413978185412;863804;GUMICA BALANS ŠTANGE GOLF II/III POLO ;;;;;KOM;2,00;2,00;4,00;4,68;;0,00;;D
17663;50;*Bez*;*Bez*;29967;5055181539936;ECV173;ZGLOB TOČKA GOLF ŠKODA ;;;;;KOM;2,00;31,30;45,14;52,81;;0,00;;D
17664;50;*Bez*;*Bez*;29968;5413978168668;63560;STABILIZATOR KOMPLET PASAT 88- ;;;;;KOM;2,00;10,00;13,79;16,13;;0,00;;D
17675;50;*Bez*;*Bez*;28092;3322937753123;JBU602;ČAURA LAFFETE VW/ŠKODA ;;;;;KOM;3,00;6,55;10,00;11,70;;0,00;;D
17680;50;*Bez*;*Bez*;28674;4011558023966;HU7010Z;FILTER ULJA MERC.W201/W212 OM651 ;;;;;KOM;5,00;11,1367;18,01;21,07;;0,00;;D
17686;50;*Bez*;*Bez*;28682;4011558716301;W8005;FILTER ULJA RADNI STROJEVI ;;;;;KOM;1,00;14,00;17,82;20,85;;0,00;;D
17707;50;*Bez*;*Bez*;28703;4082300191547;PY21W(8GA006841-121);ŽARULJA 12V-21W(PY21W)ŽUTA ;;;;;KOM;11,00;0,5891;1,28;1,50;;0,00;;D
17713;50;*Bez*;*Bez*;28783;5055181551143;CBP0989(571969);DISK PLOČICE PR.VW GOLF III ;;;;;KOM;2,00;23,905;37,00;43,29;;0,00;;D
17765;50;*Bez*;*Bez*;29721;5055181559941;EKF115(CU3448);FILTER KLIME PEŽO 206 ;;;;;KOM;1,00;6,98;11,66;13,64;;0,00;;D
17767;50;*Bez*;*Bez*;29723;3322937475360;JBJ750;KUGLA VW T5 ;;;;;KOM;2,00;38,00;41,80;48,91;;0,00;;D
17780;50;*Bez*;*Bez*;28999;5414465355158;6PK923;REMEN MIKRO 6PK923 GATES ;;;;;KOM;2,00;9,1167;16,50;19,31;;0,00;;D
17791;50;*Bez*;*Bez*;29979;5055181544992;EOF202(HU618X);FILTER ULJA ;;;;;KOM;1,00;7,25;11,33;13,26;;0,00;;D
17797;50;*Bez*;*Bez*;29985;5055181519853;EFF076(WK823);FILTER GORIVA POLO SEAT ;;;;;KOM;1,00;11,38;17,00;19,89;;0,00;;D
17804;50;*Bez*;*Bez*;31917;31917;CTY12030(C22267);FILTER ZRAKA ;;;;;KOM;1,00;13,51;21,00;24,57;;0,00;;D
17805;50;*Bez*;*Bez*;31957;4014870412661;825016810;KUGLA RENO ;;;;;KOM;1,00;10,53;16,20;18,95;;0,00;;D
17806;50;*Bez*;*Bez*;31958;31958;3830;KRAJNICA FORD LX ;;;;;KOM;1,00;13,01;19,00;22,23;;0,00;;D
17807;50;*Bez*;*Bez*;31959;4014870436162;840092010;KRAJNICA PEŽO ;;;;;KOM;1,00;9,98;15,35;17,96;;0,00;;D
17809;50;*Bez*;*Bez*;30588;5055181520262;CDH11631(W67/2);FILTER ULJA ;;;;;KOM;1,00;4,50;7,17;8,39;;0,00;;D
17810;50;*Bez*;*Bez*;30589;5055590805059;CSL7027;STABILIZATOR PVC GOLF IV ;;;;;KOM;2,00;7,43;11,00;12,87;;0,00;;D
17818;50;*Bez*;*Bez*;30597;4005108306814;530017710;SET ZUPČASTOG VW 1.9TDI ;;;;;KOM;1,00;180,68;277,97;325,22;;0,00;;D
17819;50;*Bez*;*Bez*;30598;5055181516760;EAF506(C2512);FILTER ZRAKA ;;;;;KOM;2,00;7,385;11,25;13,16;;0,00;;D
17831;50;*Bez*;*Bez*;28710;087295179567;BKR5EK(FLR8LDCU+)+8;SVJEĆICA ZA AUTO OPEL/NISAN ;;;;;KOM;12,00;4,93;7,00;8,19;;0,00;;D
17833;50;*Bez*;*Bez*;29323;4011558404802;CUK3461;FILTER KLIME MERCEDES ;;;;;KOM;1,00;21,68;35,00;40,95;;0,00;;D
17842;50;*Bez*;*Bez*;29409;5055339180355;CBP0706;PLOČICE PR.VW GOLFIII 1.9TD(571915) ;;;;;KOM;1,00;25,97;40,00;46,80;;0,00;;D
17845;50;*Bez*;*Bez*;29293;5055339161125;EAF754(C27107);FILTER ZRAKA OPEL ASTRA J ;;;;;KOM;1,00;10,595;17,29;20,23;;0,00;;D
17846;50;*Bez*;*Bez*;29294;5055181549416;EOF218(HU820/1Y);FILTER ULJA ASTRA/CORSA D ;;;;;KOM;1,00;6,92;10,25;11,99;;0,00;;D
17869;50;*Bez*;*Bez*;25848;4019064043676;24367;MANŽETNA MJENJAČA VW AUDI ;;;;;KOM;1,00;12,00;17,09;20,00;;0,00;;D
17873;50;*Bez*;*Bez*;26379;5055181537789;EAF600(C30130/2);FILTER ZRAKA OPEL ASTRA G 2,0DTI 2001-ZAFIRA ;;;;;KOM;1,00;11,01;17,21;20,14;;0,00;;D
