LAGER LISTA  ;;;;;;;;;;;;;;;;;;;;
Rbr.;MT;NadGrupa;Grupa;Šifra robe;Barcode;KatBroj;Naziv robe;Dob;NazivDob;Polica;Pretinac;JMJ;Stanje;PNBC;VPC;MPC;TD_Sifra;TD_ID;Top;Akt
3354;50;*Bez*;*Bez*;07372;3322937239160;GDB1348(571959);DISK PLOČICE BMW PREDNJE E46,Z3 ;;;;;KOM;1,00;38,39;59,06;69,10;;0,00;;D
3405;50;*Bez*;*Bez*;07542;3322937244843;GDB1386(571971);DISK PLOČICE VW/AUDI ;;;;;KOM;1,00;35,38;54,00;63,18;;0,00;;D
3417;50;*Bez*;*Bez*;11095;3322936153306;DF1533;KOČIONI DISK PREDNJI VW/CADY ;;;;;KOM;2,00;34,96;53,00;62,01;;0,00;;D
3445;50;*Bez*;*Bez*;08090;4011558905309;WK830/6;FILTER GORIVA ;;;;;KOM;1,00;5,50;9,35;10,94;;0,00;;D
3460;50;*Bez*;*Bez*;06972;108243;108243;ČAURA ZADNJEG TRAPA GOLF 4 ;;;;;KOM;2,00;12,00;18,80;22,00;;0,00;;D
3503;50;*Bez*;*Bez*;07273;3322936402947;GDB294(571344);DISK PLOČICE ;;;;;KOM;2,00;22,04;34,00;39,78;;0,00;;D
3504;50;*Bez*;*Bez*;07274;3322936409113;GDB911(571753);DISK PLOČICE ;;;;;KOM;1,00;14,00;24,35;28,49;;0,00;;D
3505;50;*Bez*;*Bez*;07275;3322936408178;GDB817(571353);DISK PLOČICE W201 PRVE ;;;;;KOM;1,00;28,88;44,44;51,99;;0,00;;D
3520;50;*Bez*;*Bez*;08325;4011558709297;W917;FILTER ULJA ;;;;;KOM;1,00;6,95;11,00;12,87;;0,00;;D
3535;50;*Bez*;*Bez*;07566;3322937334346;GDB1542(573091);DISK PLOČICE PRED MERC ;;;;;KOM;1,00;59,51;91,34;106,87;;0,00;;D
3538;50;*Bez*;*Bez*;07570;3322936408185;GDB818(571382);DISK PLOČICE MERCEDES W124 PRVE ;;;;;KOM;1,00;31,63;48,66;56,93;;0,00;;D
3559;50;*Bez*;*Bez*;08568;4011558293307;HU719/7X;FILTER ULJA ;;;;;KOM;8,00;6,0375;9,50;11,12;;0,00;;D
3560;50;*Bez*;*Bez*;08569;4011558293109;HU710X;FILTER ULJA ;;;;;KOM;1,00;11,43;18,00;21,06;;0,00;;D
3577;50;*Bez*;*Bez*;07901;3267025010842;5W-40 1/1 85413;ELF EVOLUTION SXR 5W-40 1/1 ;;;;;KOM;12,00;9,8124;13,68;16,01;;0,00;;D
3579;50;*Bez*;*Bez*;07903;3267025011450;10W-40 1/1 85402;ELF SPORTI TXI 10W-40 1/1 ;;;;;KOM;14,00;5,3986;7,69;9,00;;0,00;;D
3614;50;*Bez*;*Bez*;08175;4011558938109;WK842/13;FILTER GORIVA ;;;;;KOM;1,00;15,90;22,00;25,74;;0,00;;D
3616;50;*Bez*;*Bez*;08178;4011558934200;WK842/11;FILTER GORIVA ;;;;;KOM;1,00;18,63;23,48;27,47;;0,00;;D
3627;50;*Bez*;*Bez*;08193;4011558936303;WK853/3X;FILTER GORIVA ;;;;;KOM;1,00;18,60;30,00;35,10;;0,00;;D
3628;50;*Bez*;*Bez*;08194;4011558941406;WK59X;FILTER GORIVA GOLF V/ŠKODA 1,4/1,6 ;;;;;KOM;1,00;22,00;28,20;32,99;;0,00;;D
3630;50;*Bez*;*Bez*;08196;4011558555801;P733/1X;FILTER GORIVA LAGUNA ;;;;;KOM;1,00;11,42;17,49;20,46;;0,00;;D
3633;50;*Bez*;*Bez*;08200;4011558934002;WK817/3X;FILTER GORIVA MANN ;;;;;KOM;2,00;13,2933;21,44;25,08;;0,00;;D
3637;50;*Bez*;*Bez*;08207;4011558945404;WK820/1;FILTER GORIVA MERC 2003- ;;;;;KOM;1,00;22,47;36,24;42,40;;0,00;;D
3646;50;*Bez*;*Bez*;08337;4011558704407;W719/14;FILTER ULJA ;;;;;KOM;1,00;8,00;9,40;11,00;;0,00;;D
3686;50;*Bez*;*Bez*;08574;4011558290900;HU819X;FILTER ULJA VOLVO ;;;;;KOM;1,00;9,50;10,45;12,23;;0,00;;D
3689;50;*Bez*;*Bez*;08579;4011558731106;W712/54;FILTER ULJA VW, SKODA ;;;;;KOM;1,00;8,50;14,30;16,73;;0,00;;D
3692;50;*Bez*;*Bez*;08583;4011558324209;HU712/8X(HU712X);FILTER ULJA ;;;;;KOM;1,00;6,13;9,42;11,02;;0,00;;D
3719;50;*Bez*;*Bez*;08615;4009026506042;LA182(CU2842);FILTER VENTILACIJE VW T-5 04- ;;;;;KOM;1,00;21,00;23,10;27,03;;0,00;;D
